Date,Open,High,Low,Close,Adj Close,Volume
12/12/1980,0.000969775,0.000967383,0.000980847,0.000969299,0.000767918,117258400
12/15/1980,0.000894119,0.000885632,0.000897959,0.000887387,0.000703024,43971200
12/16/1980,0.000784074,0.000776631,0.000787441,0.00077817,0.000616498,26432000
12/17/1980,0.000811585,0.000810694,0.000821978,0.0008123,0.000643537,21610400
12/18/1980,0.000852852,0.000851569,0.000863422,0.000853256,0.000675984,18362400
12/19/1980,0.000942264,0.000940133,0.000953218,0.000941995,0.000746287,12157600
12/22/1980,0.00101792,0.001015071,0.001029199,0.001017082,0.000805773,9340800
12/23/1980,0.001086698,0.001083196,0.001098273,0.001085342,0.000859852,11737600
12/24/1980,0.00117611,0.001171759,0.001188068,0.001174081,0.000930154,12000800
12/26/1980,0.001341179,0.001335261,0.001353846,0.001337906,0.001059944,13893600
12/29/1980,0.00136869,0.001362511,0.001381475,0.00136521,0.001081575,23290400
12/30/1980,0.001327423,0.001314823,0.001333123,0.001317428,0.00104372,17220000
12/31/1980,0.0012724,0.001260323,0.001277864,0.001262819,0.001000457,8937600
1/2/1981,0.001286156,0.001287573,0.001298586,0.001283297,0.00101668,5415200
1/5/1981,0.001251767,0.001239885,0.001257142,0.001242341,0.000984233,8932000
1/6/1981,0.001169233,0.001158134,0.001174254,0.001160429,0.000919338,11289600
1/7/1981,0.001093576,0.001083196,0.001098273,0.001085342,0.000859852,13921600
1/8/1981,0.001059187,0.001049134,0.001063736,0.001051212,0.000832812,9956800
1/9/1981,0.001141721,0.001137697,0.001153532,0.00113995,0.000903115,5376000
1/12/1981,0.001141721,0.001130884,0.001139717,0.001126298,0.000892299,5924800
1/13/1981,0.001072943,0.001062759,0.00107755,0.001064864,0.000843628,5762400
1/14/1981,0.001072943,0.001069571,0.001084458,0.00107169,0.000849036,3572800
1/15/1981,0.001107332,0.001110446,0.001118995,0.00110582,0.000876075,3516800
1/16/1981,0.001100454,0.001090009,0.00110518,0.001092168,0.00086526,3348800
1/19/1981,0.001196744,0.001192197,0.001208791,0.001194559,0.000946378,10393600
